RANK,ELO,LEVEL,ALIAS,STREAK,WINS,LOSSES,RATIO,TOTAL,LAST GAME
209,1271,,Mr. Bepsi,+10,22,8,73%,30,2023/04/02
210,1270,,fenerx,-1,26,19,58%,45,2023/03/26
211,1270,,RyuJou,+2,16,9,64%,25,2023/03/30
212,1270,,Rolling9Deep,-1,36,18,67%,54,2023/03/29
213,1269,,akutoku,+1,19,11,63%,30,2023/04/17
214,1269,,Laughing Sun,+3,13,6,68%,19,2023/03/27
215,1269,,Bad Ash,+8,16,6,73%,22,2023/03/21
216,1267,,Nostalgia93',+2,19,9,68%,28,2023/04/16
217,1267,,Rasler63,+3,41,27,60%,68,2023/03/27
218,1267,,MONKEY,+3,8,2,80%,10,2023/04/02
219,1266,,Dim Hoff Mouth Breather LOL,+1,20,11,65%,31,2023/03/30
220,1265,,Yoyapp,-1,13,6,68%,19,2023/04/12
221,1265,,ihatealex,+1,11,5,69%,16,2023/03/24
222,1264,,longyouaak,+1,212,154,58%,366,2023/04/17
223,1264,,gilashley,+2,28,14,67%,42,2023/04/12
224,1263,,REDFORCE,-5,15,9,63%,24,2023/03/31
225,1263,,Noob Nath,+1,53,35,60%,88,2023/04/16
226,1263,,Ding Dong,+2,66,51,56%,117,2023/04/16
227,1263,,fiadaputa,-1,41,25,62%,66,2023/04/15
228,1262,,>Cow<,+1,29,18,62%,47,2023/04/06
229,1262,,mikec_81,-2,166,141,54%,307,2023/04/14
230,1262,,miyanishi,+1,78,61,56%,139,2023/04/01
231,1261,,Otvor,+1,51,39,57%,90,2023/04/10
232,1261,,Deliri0us,+1,12,4,75%,16,2023/04/17
233,1261,,Leorique,+5,73,56,57%,129,2023/04/01
234,1259,,Makros,+9,10,2,83%,12,2023/03/27
235,1259,,Rutherford B. Hayes,-2,59,40,60%,99,2023/04/07
236,1259,,dumle,+3,10,3,77%,13,2023/03/25
237,1258,,hireling,+1,8,2,80%,10,2023/03/23
238,1257,,Penetron2000,-1,23,16,59%,39,2023/04/16
239,1256,,Mr. Fahrenheit,+3,33,18,65%,51,2023/03/31
240,1256,,Airandfelt,+2,16,7,70%,23,2023/04/16
241,1256,,wily wilbert,-3,41,26,61%,67,2023/03/31
242,1255,,53Zmirko,-1,9,3,75%,12,2023/03/30
243,1255,,Exerate,-1,17,8,68%,25,2023/04/11
244,1254,,Cheezus,+9,50,40,56%,90,2023/04/01
245,1254,,FK9DD,+3,39,29,57%,68,2023/04/07
246,1253,,GluteusMaximus,+5,10,2,83%,12,2023/04/07
247,1252,,JoseyWales_,+1,95,71,57%,166,2023/04/01
248,1252,,LEV-Detahaven,+2,53,36,60%,89,2023/04/09
249,1251,,🐼🐼Kashll🐼🐼,-3,30,26,54%,56,2023/04/02
250,1251,,Satan2,+2,61,50,55%,111,2023/04/17
251,1250,,Reakly,-1,43,27,61%,70,2023/04/16
252,1249,,BALCK_9,+5,28,18,61%,46,2023/04/14
253,1248,,Gnorri,-1,18,9,67%,27,2023/04/06
254,1248,,Quack,+3,10,2,83%,12,2023/04/14
