RANK,ELO,LEVEL,ALIAS,STREAK,WINS,LOSSES,RATIO,TOTAL,LAST GAME
355,1216,,Extra Hawt,-1,13,7,65%,20,2023/04/09
356,1215,,VndctL,-2,58,37,61%,95,2023/04/12
357,1215,,Neko,-2,19,11,63%,30,2023/04/01
358,1215,,aSIISymbiosis,+3,29,15,66%,44,2023/04/17
359,1215,,Project Reality King,+7,28,17,62%,45,2023/03/26
360,1215,,AHungryPigeon,-2,56,39,59%,95,2023/04/01
361,1214,,crosseazain,+3,36,23,61%,59,2023/04/11
362,1214,,Stryker,+1,30,18,63%,48,2023/04/17
363,1213,,Trauma,+5,29,17,63%,46,2023/03/21
364,1213,,Storm,+12,26,13,67%,39,2023/04/12
365,1213,,Bug,+1,16,10,62%,26,2023/03/26
366,1211,,Tomakaze,+2,9,3,75%,12,2023/03/31
367,1211,,Manitou,+1,30,20,60%,50,2023/04/10
368,1211,,AYIK 01,-1,8,2,80%,10,2023/04/11
369,1211,,Zaterner,+8,13,4,76%,17,2023/04/01
370,1210,,GeeNo,+2,14,8,64%,22,2023/04/08
371,1210,,Templariusz,-1,15,6,71%,21,2023/04/01
372,1210,,Kamikaze Scotsman,-2,29,17,63%,46,2023/04/10
373,1209,,Maru,+1,34,20,63%,54,2023/04/13
374,1209,,76561198046408390,+8,37,27,58%,64,2023/03/30
375,1209,,BlackAz,-1,9,4,69%,13,2023/04/16
376,1208,,Malevolent Pink Cat,-4,12,6,67%,18,2023/04/13
377,1208,,yesman55,+5,26,15,63%,41,2023/03/30
378,1208,,Lt Beren,-1,46,29,61%,75,2023/04/17
379,1207,,Edward,+4,51,32,61%,83,2023/03/31
380,1207,,BusinessBryce,+2,21,10,68%,31,2023/04/10
381,1206,,turkey cat,+7,20,10,67%,30,2023/04/15
382,1205,,Peacemaker,+2,25,16,61%,41,2023/04/17
383,1204,,NaseMabi,-2,10,5,67%,15,2023/04/09
384,1204,,Johoni,+7,8,3,73%,11,2023/04/09
385,1204,,TankinatorXD,-1,24,15,62%,39,2023/04/16
386,1204,,"Zoey, Cyberpunk Communist",+7,10,3,77%,13,2023/03/25
387,1204,,微瑕之心,+2,26,11,70%,37,2023/03/29
388,1204,,lwl,-4,63,37,63%,100,2023/03/29
389,1203,,CopyCat,+5,29,19,60%,48,2023/04/17
390,1202,,Okeyeg,+4,16,7,70%,23,2023/04/12
391,1202,,juan.aldava,+3,51,33,61%,84,2023/04/11
392,1202,,John Paul II,+6,11,5,69%,16,2023/04/14
393,1202,,UncleClappy,-4,12,7,63%,19,2023/04/10
394,1202,,The Window,+8,19,7,73%,26,2023/04/08
395,1201,,69apm,-2,6,4,60%,10,2023/04/12
396,1201,,JackTW The VTUBER,+1,28,19,60%,47,2023/04/03
397,1201,,Guessmaname,+1,104,75,58%,179,2023/04/17
398,1201,,Iron_Sarge69,+1,17,9,65%,26,2023/04/12
399,1201,,lePepsi,-1,28,16,64%,44,2023/04/12
400,1200,,dire,+2,249,205,55%,454,2023/04/18
401,1200,,Azakura,+5,19,10,66%,29,2023/04/13
402,1200,,CNposition,-4,9,6,60%,15,2023/04/04
403,1200,,VitaminP,-3,21,17,55%,38,2023/04/08
404,1199,,[GER]KaiWer94,+1,17,9,65%,26,2023/04/04
405,1199,,Faramir,+1,38,32,54%,70,2023/04/05
406,1198,,Artanis,-1,7,3,70%,10,2023/03/30
407,1198,,Lieut✪LunchBox,-1,19,11,63%,30,2023/04/15
408,1197,,Echo913,+4,10,5,67%,15,2023/04/09
409,1197,,Colonel0tto,+5,15,7,68%,22,2023/04/14
410,1197,,我剑也未尝不利,-2,19,11,63%,30,2023/04/16
411,1196,,ZeroUno,+1,9,3,75%,12,2023/03/26
412,1195,,Trivolka,+4,14,6,70%,20,2023/04/15
413,1195,,Kaiser_play,+2,31,16,66%,47,2023/03/29
414,1195,,Fernando87ca,+3,41,27,60%,68,2023/04/11
415,1195,,nonononononononono,+4,15,9,63%,24,2023/04/07
416,1194,,kunlianglin,+1,9,3,75%,12,2023/04/15
417,1193,,Bene,+2,16,7,70%,23,2023/03/26
418,1193,,JoseyWales_,-4,130,95,58%,225,2023/04/06
419,1193,,HomerJ.Simpson,-2,11,4,73%,15,2023/04/16
420,1192,,JustLemon,+2,10,6,63%,16,2023/04/03
421,1192,,Lska,-1,9,4,69%,13,2023/04/05
422,1192,,A-Zizou,-1,8,2,80%,10,2023/03/24
423,1192,,P-Money,+1,12,12,50%,24,2023/04/09
